Indicator ID,Indicator Name,Display Name,Source ID,Data Type,Transform Notebook,Frequency,AggregateType,DenominatorIndicatorID,PerCapita,MinYear
civilsocietyparticipatoryenvironment_vdem,Civil Society Participatory Environment,Civil Society Participatory Environment,VDEM,float,VDEM_transform,,,,,
civilsocietyinfrastructurerobustness_vdem,Civil Society Infrastructure Robustness,Civil Society Infrastructure Robustness,VDEM,float,VDEM_transform,,,,,
protectionofrightsandfreedoms_vdem,Protection of rights and freedoms,Protection of rights and freedoms,VDEM,float,VDEM_transform,,,,,
equalprotectionofrightsandfreedomsacrosssocialgroups_vdem,Equal protection of rights and freedoms,Equal protection of rights and freedoms across social groups,VDEM,float,VDEM_transform,,,,,
powerdistribution_vdem,Power distribution,Power distribution,VDEM,float,VDEM_transform,,,,,
resourcedistribution_vdem,Equal distribution of resources index,Resource distribution,VDEM,float,VDEM_transform,,,,,
civilliberties_vdem,Civil Liberties Index,Civil liberties,VDEM,float,VDEM_transform,,,,,
electoraldemocracy_vdem,Electoral Democracy Index,Electoral Democracy,VDEM,float,VDEM_transform,,,,,
economicinequalitytotal_globaldatafsi,Total,Total,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
securityapparatus_globaldatafsi,Security Threats,Security Apparatus,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
factionalizedelites_globaldatafsi,Factionalized Elites,Factionalized Elites,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
groupgrievance_globaldatafsi,Group Divisions in Society,Group Grievance,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
economy_globaldatafsi,Economic Decline and Poverty,Economy,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
externalpeace_globaldatafsi,External Peace,External Peace,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
humanflightandbraindrain_globaldatafsi,Human Flight and Brain Drain,Human Flight and Brain Drain,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
statelegitimacy_globaldatafsi,State Legitimacy,State Legitimacy,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
publicservices_globaldatafsi,Public Services,Public Services,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
humanrights_globaldatafsi,Human Rights,Human Rights,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
demographicpressure_globaldatafsi,Demographic Pressures,Demographic Pressure,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
refugeesandidps_globaldatafsi,Refugees and IDPs Pressure on State,Refugees and IDPs,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
structuralpoliciesclusteraverage_cpiaspca,CPIA structural policies cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA_SPCA,float,CPIA_SPCA_transform,,,,,
accesstointernet_cpiaati,Individuals using the Internet (% of population),Individuals using the Internet (% of population),CPIA_ATI,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
schoolenrollment_cpiasen,"School enrollment, tertiary (% gross)","School enrollment, tertiary (% gross)",CPIA_SEN,float,CPIA_transform,,,,,
expenditureontertiaryeducation_cpiaeote,Expenditure on tertiary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),CPIA_EOTE,float,CPIA_transform,,,,,
accesstowaterservices_cpiaatws,People using safely managed drinking water services (% of population),People using safely managed drinking water services (% of population),CPIA_ATWS,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
employmentinservices_cpiaeis,Employment in services (% of total employment),Employment in services (% of total employment),CPIA_EIS,float,CPIA_transform,,,,,
employmentinindustry_cpiaeii,Employment in industry (% of total employment),Employment in industry (% of total employment),CPIA_EII,float,CPIA_transform,,,,,
employmentinagriculture_cpiaeia,Employment in agriculture (% of total employment),Employment in agriculture (% of total employment),CPIA_EIA,float,CPIA_transform,,,,,
%changeinremittancefrompreviousyear_cpiacir,% change in remittance from previous year,% change in remittance from previous year,CPIA_CIR,float,CPIA_transform,,,,,
remittanceas%ofGDP_cpiacir,Remittance as % of GDP,Remittance as % of GDP,CPIA_RAGDP,float,CPIA_transform,,,,,
populationlivinginslums_cpiaplis,Population living in slums (% of urban population),Population living in slums (% of urban population),CPIA_PLIS,float,CPIA_transform,,PositiveSum,totalurbanpopulation_cpiatup,100,
gdppercapita_cpiagdp,"GDP per capita, PPP (current international $)","GDP per capita, PPP (current international $)",CPIA_GDP,float,CPIA_transform,,PositiveSum,totalpopulation_untp,1,
womensubjectedtophysicalsexualviolence_cpiawsv,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),CPIA_WSV,float,CPIA_transform,,,,,
populationusingbasicdrinkingwater_cpiapbd,Population using at least basic drinking-water services (%),Population using at least basic drinking-water services (%),CPIA_PBDW,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
populationusingbasicsanitationservices_cpiapbss,Population using at least basic sanitation services (%),Population using at least basic sanitation services (%),CPIA_PBSS,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
povertyheadcountratioat$1.90_cpiaphr19,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),CPIA_PHR19,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
povertyheadcountratioat$3.20_cpiaphr32,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),CPIA_PHR32,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
povertyheadcountratioat$5.50_cpiaphr55,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),CPIA_PHR55,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
refugeepopulationbycountry_cpiarpbc,Refugee population by country or territory of asylum,Refugee population by country or territory of asylum,CPIA_RPBC,float,CPIA_transform,,PositiveSum,,,
populationages65andabove_cpiapa65a,Population ages 65 and above (% of total population),Population ages 65 and above (% of total population),CPIA_PA65A,float,CPIA_transform,,PositiveSum,totalpopulation_untp,100,
totalruralpopulation_cpiatrp,"Rural Population, total","Rural Population, total",CPIA_TRP,float,CPIA_transform,,PositiveSum,,,
totalurbanpopulation_cpiatup,"Urban Population, total","Urban Population, total",CPIA_TUP,float,CPIA_transform,,PositiveSum,,,
shareoffemalebusinessowners_sofbwbdb,Share of female business owners of new LLCs,Share of female business owners of new LLCs,SOFB_WBDB,float,WBDB_transform,,,,,
shareoffemalesoleproprietors_sofswbdb,Share of female sole proprietors,Share of female sole proprietors,SOFS_WBDB,float,WBDB_transform,,,,,
shareoffemaledirectors_sofdwbdb,Share of female directors of new LLCs,Share of female directors of new LLCs,SOFD_WBDB,float,WBDB_transform,,,,,
numberofnewllc_nbwbdb,Number of New Limited Liability Companies,Number of new limited liability companies,NB_WBDB,float,WBDB_transform,,PositiveSum,,,
newbusinessdensityrate_nbbwbdb,Entry rate,New business density rate,NB_WBDB,float,WBDB_transform,,,,,
humandevelopmentindex_undphdi,Human development index (HDI),Human development index (HDI),HDR,float,HDR_transform,,,,,
internetusersofpopulation_ituict,"Internet users, total (% of population)",Internet users total (% of population),ITU_ICT,float,ITU_ICT_transform,,PositiveSum,totalpopulation_untp,100,
internationalmigrantstock_imsmy,International migrant stock at mid-year (both sexes),International migrant stock at mid-year (both sexes),IMSMY,float,IMSMY_transform,,PositiveSum,,,
populationcoveredbyatleastonesocialprotectionbenefit_ilospf,Population covered by at least one social protection benefit,Population covered by at least one social protection benefit,ILO_SPF,float,ILO_SPF_transform,,PositiveSum,totalpopulation_untp,100,
motherswithnewbornsreceivingmaternitybenefits_ilospf,"Mothers with newborns receiving maternity benefits, Females",Mothers with newborns receiving maternity benefits,ILO_SPF,float,ILO_SPF_transform,,,,,
vulnerablepersonscoveredbysocialassistance_ilospf,Vulnerable persons covered by social assistance,Vulnerable persons covered by social assistance,ILO_SPF,float,ILO_SPF_transform,,,,,
unemployedreceivingunemploymentbenefits_ilospf,Unemployed receiving unemployment benefits,Unemployed receiving unemployment benefits,ILO_SPF,float,ILO_SPF_transform,,,,,
poorpersonscoveredbysocialprotectionsystems_ilospf,Poor persons covered by social protection systems,Poor persons covered by social protection systems,ILO_SPF,float,ILO_SPF_transform,,,,,
employedcoveredintheeventofworkinjury_ilospf,Employed covered in the event of work injury,Employed covered in the event of work injury,ILO_SPF,float,ILO_SPF_transform,,,,,
childrenorhouseholdsreceivingchildorfamilycashbenefits_ilospf,Children/households receiving child/family cash benefits,Children/households receiving child/family cash benefits,ILO_SPF,float,ILO_SPF_transform,,,,,
personswithseveredisabilitiescollectingdisabilitysocialprotectionbenefits_ilospf,Persons with severe disabilities collecting disability social protection benefits,Persons with severe disabilities collecting disability social protection benefits,ILO_SPF,float,ILO_SPF_transform,,,,,
personsaboveretirementagereceivingapension_ilospf,Persons above retirement age receiving a pension,Persons above retirement age receiving a pension,ILO_SPF,float,ILO_SPF_transform,,,,,
totalgovernmentfiscalresponse_unescwafr,Fiscal Response,Total government support in USD in response to COVID,UNESCWA_FR,float,UNESCWA_FR_transform,,PositiveSum,,,
corruptionperceptionsindex_cpi,Transparency Internationals Corruption Perceptions index,Transparency Internationals Corruption Perceptions index,CPI,float,CPI_transform,,,,,
informalsectorasbiggestobstacle_isabo,Percent of firms choosing practices of the informal sector as their biggest obstacle,Practices of informal sector as biggest obstacle chosen by firms,ISABO,float,ISABO_transform,,,,,
enterprisesexcluded_iloee,Enterprises excluded,Enterprises excluded from legal coverage,ILO_EE,float,ILO_EE_transform,,,,,
organisedinternalconflict_globalpi,Intensity of Organised Internal Conflict,Intensity of Organised Internal Conflict,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
socialsafetysecurityconflict_globalpi,Societal Safety and Security,Societal Safety and Security conflict,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
globalpeaceindexscore_globalpi,Global Peace Index Score,Overall Global Peace Index Score,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
globalpeaceindexrank_globalpi,Global Peace Index Rank,Global Peace Index Rank,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
easeofdoingbusinessscore_ebwbdb,Ease of Doing Business Score,Ease of Doing Business Score,EB_WBDB,float,EB_WBDB_transform,,,,,
governmentdebt_imfweo,Government Debt,Government Debt,IMF_WEO,float,IMF_WEO_transform,,,,,
governmentdebtbaseline_imfweobaseline,"Government Debt, baseline","Government Debt, baseline",IMF_WEO_BASELINE,float,IMF_WEO_BASELINE_transform,,,,,
governmentnetlending_imfweo,General government net lending/borrowing; percent of GDP,Government Debt,IMF_WEO,float,IMF_WEO_transform,,,,,
gdp_imfweo,"Gross domestic product, constant prices, percent change",GDP,IMF_WEO,float,IMF_WEO_transform,,,,,
inflation_imfweo,"Inflation, average consumer prices; percent change",Inflation,IMF_WEO,float,IMF_WEO_transform,,,,,
unemployment_imfweo,"Unemployment rate, percent of total labor force",Unemployment,IMF_WEO,float,IMF_WEO_transform,,,,,
governmentnetlendingbaseline_imfweobaseline,"General government net lending/borrowing; percent of GDP, baseline",government net lending baseline,IMF_WEO_BASELINE,float,IMF_WEO_BASELINE_transform,,,,,
gdpbaseline_imfweobaseline,"Gross domestic product, constant prices, percent change, baseline",GDP baseline,IMF_WEO_BASELINE,float,IMF_WEO_BASELINE_transform,,,,,
inflationbaseline_imfweobaseline,"Inflation, average consumer prices; percent change, baseline",Inflation baseline,IMF_WEO_BASELINE,float,IMF_WEO_BASELINE_transform,,,,,
unemploymentbaseline_imfweobaseline,"Unemployment rate, percent of total labor force, baseline",Unemployment baseline,IMF_WEO_BASELINE,float,IMF_WEO_BASELINE_transform,,,,,
countrywisemilitaryexpenditure_sipri,Military Expenditure,Countrywise Military Expenditure,SIPRI,float,SIPRI_transform,,,,,
secondaryschoolswithinternet_acctoi,Percentage of secondary schools with access to the internet,Percentage of secondary schools with access to the internet,ACCTOI,float,ACCTOI_transform,,,,,
primaryschoolswithinternet_acctoi,Percentage of primary schools with access to the internet,Percentage of primary schools with access to the internet,ACCTOI,float,ACCTOI_transform,,,,,
moderateorseverefoodinsecurity_fao,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of moderate or severe food insecurity,FAO,float,FAO_transform,,PositiveSum,totalpopulation_untp,100,
covidresponsestringency_oxcgrt,COVID-19 Government Response Stringency,OXCGRT Government Response Stringincy Index,OXCGRT,float,OXCGRT_RL_transform,,,,,
ififinancialresponsepackages_imfifi,IFI Response,IFI financial response packages,IMF_IFI,float,IMF_IFI_transform,,PositiveSum,,,
cumulativecases_whoglobal,Cumulative Number of COVID-19 Cases,Cumulative number of COVID-19 cases,WHO_GLOBAL,float,WHO_GLOBAL_RL_transform,,PositiveSum,,,2020
cumulativedeaths_whoglobal,Cumulative Number of COVID-19 Deaths,Cumulative number of COVID-19 deaths,WHO_GLOBAL,float,WHO_GLOBAL_RL_transform,,PositiveSum,,,2020
migrantacceptanceindex_mdpma,Migrant Acceptance Index,Migrant Acceptance Index,MDP_MA,float,MDP_transform,,,,,
betterplacetolive_mdpbpl,"People who think increasing number of people of different races, ethnic groups, and nationalities in their country makes it a better place to live","People who think increasing number of people of different races, ethnic groups, and nationalities in their country makes it a better place to live",MDP_BPL,float,MDP_BPL_transform,,,,,
wantinglowerimmigrationlevels_mdpild,Percentage of adult respondents who would like to see immigration levels decreased in their country,Percentage of adult respondents who would like to see immigration levels decreased in their country,MDP_ILD,float,MDP_transform,,,,,
mortalityattributedtononspreadingdisease_sdgmr,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability), Age 30-70",Mortality attributed to non spreading disease (probability),SDG_MR,float,SDG_MR_transform,,,,,
economicfreedomglobalrank_heritageid,Economic Freedom Global Ranking,Economic freedom global ranking,HERITAGE_ID,float,HERITAGE_ID_transform,,,,,
dailyco2emissionspercentagechange_natureco2,Reduced Mean Daily CO2 Emissions; percent change,Reduced Mean Daily CO2 Emissions; percent change,NATURE_CO2,float,NATURE_CO2_transform,,,,,
naturalcapital_naturalcapital,Natural capital,Natural capital,NATURAL_CAPITAL,float,NATURAL_CAPITAL_transform,,PositiveSum,,,
gdppercapitapercentagechange_imfweo,"Gross domestic product per capita, constant prices, percent change","Gross domestic product per capita, constant prices, percent change",IMF_WEO,float,IMF_WEO_GDP_transform,,,,,
mameemploymentpercentageoftotal_sme,MSME employment (% total),MSME employment percentage of total,SME,float,SME_transform,,,,,
microenterprisespercentageofallenterprises_sme,"Size Breakdown, % of all enterprises, Micro",Micro enterprises percentage of all enterprises,SME,float,SME_transform,,,,,
smallenterprisespercentageofallenterprises_sme,"Size Breakdown, % of all enterprises, Small",Small enterprises percentage of all enterprises,SME,float,SME_transform,,,,,
mediumenterprisespercentageofallenterprises_sme,"Size Breakdown, % of all enterprises, Medium",Medium enterprises percentage of all enterprises,SME,float,SME_transform,,,,,
msmespercentageofallenterprises_sme,"Size Breakdown, % of all enterprises, MSMEs",MSMEs percentage of all enterprises,SME,float,SME_transform,,,,,
smespercentageofallenterprises_sme,"Size Breakdown, % of all enterprises, SMEs",SMEs percentage of all enterprises,SME,float,SME_transform,,,,,
largeenterprisespercentageofallenterprises_sme,"Size Breakdown, % of all enterprises, Large",Large enterprises percentage of all enterprises,SME,float,SME_transform,,,,,
microeterprisesemploymentpercentageoftotal_sme,Micro Enterprises employment (% total),Micro Enterprises employment percentage of total,SME,float,SME_transform,,,,,
smeemploymentpercentageoftotal_sme,SME employment (% total),SME employment percentage of total,SME,float,SME_transform,,,,,
largeenterprisesemploymentpercentageoftotal_sme,Large Enterprises employment (% total),Large Enterprises employment percentage of total,SME,float,SME_transform,,,,,
monopolyonuseofforce_btiproject,State Monopoly on Use of Force,Monopoly on Use of Force,BTI_PROJECT,float,BTI_PROJECT_transform,,,,,
informalemploymentinnonagricultureemployment_ilopiena,Proportion of informal employment in non-agriculture employment (% of total employment in non-agriculture),Proportion of informal employment in non-agriculture employment (% of total employment in non-agriculture),ILO_PIENA,float,ILO_transform,,,,,
multidimensionalpovertyindex_undpmpi,Multidimensional Poverty Index - 2022,Multidimensional Poverty Index (MPI) - 2022,UNDP_MPI,float,UNDP_MPI_transform,,,,,
legislationonuniversalhealthcoverage_wholouhc,Countries that have passed legislation on Universal Health Coverage (UHC) 2017,Countries that have passed legislation on Universal Health Coverage (UHC),WHO_LOUHC,text,WHO_RL_transform,,,,,
estimatednumberofpeoplehwithhiv_whoephiv,Estimated number of people (all ages) living with HIV,Estimated number of people (all ages) living with HIV,WHO_EPHIV,float,WHO_RL_transform,,PositiveSum,,,
currenthealthexpenditure_whoche,Current health expenditure (% of GDP),Current health expenditure (% of GDP),WHO_CHE,float,WHO_RL_transform,,,,,
totalpopulation_untp,"Population, total",Total population,UNTP,float,UNTP_transform,,PositiveSum,,,
numberofhospitalbedsper10000people_whohb,"Number of hospital beds per 10,000 people",Number of hospital beds per 10000 people,WHO_HB,float,WHO_RL_transform,,PositiveSum,,,
physiciansper10000people_whops,"Physicians per 10,000 people",Physicians per 10000 people,WHO_PS,float,WHO_RL_transform,,PositiveSum,totalpopulation_untp,10000,
nursesandmidwivesper10000people_whonam,"Nurses and midwives per 10,000 people",Nurses and midwives per 10000 people,WHO_NAM,float,WHO_RL_transform,,PositiveSum,totalpopulation_untp,10000,
testdeathrate_whoglobal,COVID-19 Fatality Rate,test_death_rate of COVID-19 deaths,WHO_GLOBAL,float,WHO_GLOBAL_RL_transform,,PositiveSum,cumulativecases_whoglobal,100,2020
receivingapensiontotal_sdgrap,"Proportion of population above statutory pensionable age receiving a pension, by sex (%), Total",Proportion of population above statutory pensionable age receiving a pension (Total),SDG_RAP,float,SDG_RAP_transform,,,,,
receivingapensionmale_sdgrap,"Proportion of population above statutory pensionable age receiving a pension, by sex (%), Male",Proportion of population above statutory pensionable age receiving a pension (Male),SDG_RAP,float,SDG_RAP_transform,,,,,
receivingapensionfemale_sdgrap,"Proportion of population above statutory pensionable age receiving a pension, by sex (%), Female",Proportion of population above statutory pensionable age receiving a pension (Female),SDG_RAP,float,SDG_RAP_transform,,,,,
emissionlevelsallghg_ghgndc,GHG emission,GHG emission,GHG_NDC,float,GHG_NDC_transform,,Sum,,,
strengthoflegalrightsindex_cpiaslri,Strength of legal rights index (0=weak to 12=strong),Strength of legal rights index (0=weak to 12=strong),CPIA_SLRI,float,CPIA_transform,,,,,
politicalterrorscale_pts,Political Terror Scale,Political Terror Scale,PTS,float,PTS_transform,,,,,
populationusingbasicdrinkingwaterrural_cpiapbdwr,Population using at least basic drinking-water services (%)::Rural,Population using at least basic drinking-water services (%)::Rural,CPIA_PBDWR,float,CPIA_transform,,PositiveSum,totalruralpopulation_cpiatrp,100,
populationusingbasicdrinkingwaterurban_cpiapbdwu,Population using at least basic drinking-water services (%)::Urban,Population using at least basic drinking-water services (%)::Urban,CPIA_PBDWU,float,CPIA_transform,,PositiveSum,totalurbanpopulation_cpiatup,100,
personsaboveretirementagereceivingapensionfemale_ilospf,"Proportion of population above statutorypensionable age receiving apension, by sex (%)::Female","Proportion of population above statutorypensionable age receiving apension, by sex (%)::Female",ILO_SPF,float,ILO_SPF_transform,,,,,
personsaboveretirementagereceivingapensionmale_ilospf,"Proportion of population above statutorypensionable age receiving apension, by sex (%)::Male","Proportion of population above statutorypensionable age receiving apension, by sex (%)::Male",ILO_SPF,float,ILO_SPF_transform,,,,,
externalintervention_globaldatafsi,X1: External Intervention,X1: External Intervention,GLOBAL_DATA_FSI,float,GLOBAL_DATA_FSI_transform,,,,,
workerscategoriesexcluded_iloee,Workers categories excluded,Workers categories excluded,ILO_EE,string,ILO_EE_transform,,,,,
mortalityattributedtononspreadingdiseasemale_sdgmr,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability), Age 30-70::Male","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability), Age 30-70::Male",SDG_MR,float,SDG_MR_transform,,,,,
mortalityattributedtononspreadingdiseasefemale_sdgmr,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability), Age 30-70::Female","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability), Age 30-70::Female",SDG_MR,float,SDG_MR_transform,,,,,
Informalemploymentbysexthousandstotal_ilolfs,"Informal employment by sex (thousands), Total","Informal employment by sex (thousands), Total",ILO_LFS,float,ILO_LFS_transform,,PositiveSum,,,
Informalemploymentbysexthousandsmale_ilolfs,"Informal employment by sex (thousands), Male","Informal employment by sex (thousands), Male",ILO_LFS,float,ILO_LFS_transform,,PositiveSum,,,
